Country,ISO_A3,Dwellings without basic facilities (%),Housing expenditure (%),Rooms per person,Household net adjusted disposable income ($),Household net wealth ($),Labour market insecurity (%),Employment rate (%),Long-term unemployment rate (%),Personal earnings ($),Quality of support network (%),Educational attainment (%),Student skills (Avg Score),Years in education,Air pollution (µg/m^3),Water quality (%),Stakeholder engagement for developing regulations (Avg Score),Voter turnout (%),Life expectancy (Years),Self-reported health (%),Life satisfaction (Avg Score),Feeling safe walking alone at night (%),Homicide rate,Employees working very long hours (%),Time devoted to leisure and personal care (No. of Hours),
Norway,NOR,0.00,17.70,2.10,39144.00,268358.00,2.80,75.00,0.90,55780.00,96.00,82.00,497.00,18.00,6.70,98.00,2.20,78.00,83.00,75.00,7.30,93.00,0.60,1.40,15.67,
Poland,POL,2.30,21.20,1.10,23675.00,233221.00,5.00,69.00,0.60,32527.00,94.00,93.00,513.00,18.00,22.80,82.00,2.60,68.00,78.00,60.00,6.10,71.00,0.50,4.20,14.68,
Portugal,PRT,0.90,19.60,1.70,24877.00,255303.00,8.10,69.00,2.30,28410.00,87.00,55.00,492.00,17.00,8.30,89.00,1.50,49.00,81.80,50.00,5.80,83.00,0.70,5.60,15.07,
Slovak Republic,SVK,1.50,27.40,1.10,21149.00,171425.00,8.80,68.00,3.00,23619.00,95.00,92.00,469.00,16.00,18.50,81.00,3.00,66.00,77.80,65.00,6.50,76.00,0.80,4.20,15.07,
Slovenia,SVN,0.20,18.20,1.60,25250.00,233286.00,5.90,71.00,1.90,41445.00,95.00,90.00,504.00,18.00,17.00,93.00,2.50,53.00,81.60,67.00,6.50,91.00,0.40,5.60,15.07,
Spain,ESP,0.30,21.70,1.90,27155.00,366534.00,15.80,62.00,5.00,37922.00,93.00,63.00,484.11,18.00,10.00,76.00,1.80,72.00,83.90,75.00,6.50,80.00,0.70,2.50,15.75,
Sweden,SWE,0.00,20.10,1.70,33730.00,323959.63,4.40,75.00,1.00,47020.00,94.00,84.00,503.00,20.00,5.80,97.00,2.00,87.00,83.20,76.00,7.30,79.00,1.10,0.90,15.07,
Switzerland,CHE,0.00,21.40,1.90,39697.00,323959.63,5.18,80.00,1.70,64824.00,94.00,89.00,498.00,17.00,10.10,96.00,2.30,45.00,84.00,81.00,7.50,86.00,0.30,0.40,15.07,
Türkiye,TUR,4.90,18.90,1.00,29598.58,323959.63,13.00,48.00,3.30,43802.25,85.00,42.00,462.00,19.00,27.10,62.00,1.50,86.00,78.60,67.00,4.90,59.00,1.00,25.00,14.61,
United Kingdom,GBR,0.50,23.20,2.00,33049.00,524422.00,3.30,75.00,0.90,47147.00,93.00,82.00,503.00,17.00,10.10,82.00,3.10,68.00,81.30,73.00,6.80,78.00,0.20,10.80,14.94,
United States,USA,0.10,18.30,2.40,51147.00,684500.00,4.20,67.00,0.50,69392.00,94.00,92.00,495.00,17.00,7.70,88.00,3.10,65.00,78.90,88.00,7.00,78.00,6.00,10.40,14.57,
Brazil,BRA,6.70,20.35,1.66,29598.58,323959.63,5.18,57.00,2.12,43933.00,83.00,57.00,400.00,16.00,11.70,70.00,2.20,80.00,75.90,15.07,6.10,45.00,19.00,5.60,15.07,
Russia,RUS,13.80,17.40,1.00,19546.00,323959.63,5.18,70.00,1.10,43933.00,89.00,95.00,481.00,16.00,11.80,62.00,2.15,68.00,73.20,43.00,5.50,64.00,4.80,0.10,15.07,
South Africa,ZAF,35.90,18.10,1.66,9338.00,323959.63,5.18,39.00,17.90,43933.00,89.00,48.00,484.20,17.50,28.50,72.00,2.15,66.00,64.20,15.07,4.90,40.00,13.70,15.40,15.07,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
